NACIONALIDAD,DOCUMENTACION,FECHA TRAMITE,GENERO,ESTADO CIVIL,PAIS NACIMIENTO,DESTINO,MODALIDAD,VISA CATEGORIA,CLASE
VENEZOLANA,TRAMITADA,11/21/2013 12:00:00 AM,MASCULINO,CASADO,VENEZUELA,BOGOTA,VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,8/01/13 0:00,MASCULINO,CASADO,VENEZUELA,MEDELLIN,VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,8/05/13 0:00,FEMENINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,8/01/13 0:00,MASCULINO,SOLTERO,VENEZUELA,BOGOTA,VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,11/21/2013 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,BOGOTA,VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,8/01/13 0:00,MASCULINO,SOLTERO,VENEZUELA,BOGOTA,VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,8/05/13 0:00,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_3,TEMPORAL
VENEZOLANA,TRAMITADA,07/29/2014 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,8/08/13 0:00,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,12/01/14 0:00,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,08/21/2013 12:00:00 AM,MASCULINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,03/27/2014 12:00:00 AM,MASCULINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,08/13/2014 12:00:00 AM,MASCULINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,08/29/2013 12:00:00 AM,FEMENINO,SOLTERO,VENEZUELA,CUCUTA,VISA,TP_3,TEMPORAL
VENEZOLANA,TRAMITADA,07/31/2013 12:00:00 AM,MASCULINO,SOLTERO,COLOMBIA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,6/04/15 0:00,MASCULINO,SOLTERO,COLOMBIA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,9/03/13 0:00,MASCULINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,TP_10,TEMPORAL
VENEZOLANA,TRAMITADA,08/14/2013 12:00:00 AM,FEMENINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,07/31/2013 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_7,TEMPORAL
VENEZOLANA,TRAMITADA,07/16/2014 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_10,TEMPORAL
VENEZOLANA,TRAMITADA,12/10/14 0:00,FEMENINO,CASADO,VENEZUELA,BARRANQUILLA,VISA,TP_10,TEMPORAL
VENEZOLANA,TRAMITADA,8/01/13 0:00,MASCULINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,TP_10,TEMPORAL
VENEZOLANA,TRAMITADA,8/09/13 0:00,MASCULINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,(NO REGISTRA),RESIDENTE
VENEZOLANA,TRAMITADA,08/28/2013 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_7,TEMPORAL
VENEZOLANA,TRAMITADA,09/22/2014 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_7,TEMPORAL
VENEZOLANA,TRAMITADA,08/23/2013 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_3,TEMPORAL
VENEZOLANA,TRAMITADA,8/06/13 0:00,FEMENINO,SOLTERO,VENEZUELA,ANDES,VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,8/02/13 0:00,MASCULINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,TP_7,TEMPORAL
VENEZOLANA,TRAMITADA,6/12/15 0:00,MASCULINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,TP_7,TEMPORAL
VENEZOLANA,TRAMITADA,8/05/13 0:00,FEMENINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,(NO REGISTRA),RESIDENTE
VENEZOLANA,TRAMITADA,08/21/2013 12:00:00 AM,FEMENINO,UNION_LIBRE,VENEZUELA,CALI,VISA,(NO REGISTRA),RESIDENTE
VENEZOLANA,TRAMITADA,08/13/2013 12:00:00 AM,FEMENINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_3,TEMPORAL
VENEZOLANA,TRAMITADA,8/06/14 0:00,FEMENINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_3,TEMPORAL
VENEZOLANA,TRAMITADA,8/06/13 0:00,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_7,TEMPORAL
VENEZOLANA,TRAMITADA,8/01/14 0:00,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_7,TEMPORAL
VENEZOLANA,TRAMITADA,07/28/2015 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_7,TEMPORAL
VENEZOLANA,TRAMITADA,07/22/2016 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_7,TEMPORAL
VENEZOLANA,TRAMITADA,08/23/2013 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,08/13/2013 12:00:00 AM,MASCULINO,CASADO,VENEZUELA,BOGOTA,VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,07/29/2014 12:00:00 AM,MASCULINO,CASADO,VENEZUELA,BOGOTA,VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,8/06/13 0:00,MASCULINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,8/08/13 0:00,FEMENINO,SOLTERO,VENEZUELA,VALENCIA,VISA,TP_1,TEMPORAL
VENEZOLANA,TRAMITADA,06/26/2014 12:00:00 AM,FEMENINO,SOLTERO,VENEZUELA,BOGOTA,VISA,TP_3,TEMPORAL
VENEZOLANA,TRAMITADA,08/22/2013 12:00:00 AM,FEMENINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,01/27/2014 12:00:00 AM,FEMENINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,08/26/2013 12:00:00 AM,MASCULINO,UNION_LIBRE,VENEZUELA,(NO REGISTRA),VISA,(NO REGISTRA),RESIDENTE
VENEZOLANA,TRAMITADA,8/06/13 0:00,MASCULINO,CASADO,VENEZUELA,(NO REGISTRA),TRASPASO,(NO REGISTRA),CAMBIO_ENTIDAD_ACTIVIDAD
VENEZOLANA,TRAMITADA,8/06/13 0:00,MASCULINO,UNION_LIBRE,VENEZUELA,(NO REGISTRA),VISA,TP_10,TEMPORAL
VENEZOLANA,TRAMITADA,08/26/2013 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,BOGOTA,VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,6/12/14 0:00,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,8/11/15 0:00,MASCULINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,08/21/2013 12:00:00 AM,MASCULINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,8/08/13 0:00,MASCULINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,8/08/13 0:00,MASCULINO,CASADO,VENEZUELA,MEDELLIN,VISA,TP_10,TEMPORAL
VENEZOLANA,TRAMITADA,09/14/2016 12:00:00 AM,MASCULINO,CASADO,VENEZUELA,MEDELLIN,VISA,(NO REGISTRA),RESIDENTE
VENEZOLANA,TRAMITADA,08/21/2013 12:00:00 AM,MASCULINO,VIUDO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,8/08/13 0:00,MASCULINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,8/01/16 0:00,MASCULINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,(NO REGISTRA),RESIDENTE
VENEZOLANA,TRAMITADA,05/30/2014 12:00:00 AM,FEMENINO,CASADO,VENEZUELA,CHIA,VISA,TP_10,TEMPORAL
VENEZOLANA,TRAMITADA,05/25/2016 12:00:00 AM,FEMENINO,CASADO,VENEZUELA,BARRANQUILLA,VISA,TP_7,TEMPORAL
VENEZOLANA,TRAMITADA,08/15/2013 12:00:00 AM,MASCULINO,CASADO,VENEZUELA,CARTAGENA,VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,8/09/13 0:00,MASCULINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,8/09/13 0:00,FEMENINO,SOLTERO,VENEZUELA,ENVIGADO,VISA,TP_5,TEMPORAL
VENEZOLANA,TRAMITADA,8/09/13 0:00,MASCULINO,CASADO,VENEZUELA,CAJICA,VISA,(NO REGISTRA),RESIDENTE
VENEZOLANA,TRAMITADA,8/09/13 0:00,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,(NO REGISTRA),RESIDENTE
VENEZOLANA,TRAMITADA,12/11/13 0:00,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,12/11/14 0:00,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,08/16/2013 12:00:00 AM,FEMENINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_3,TEMPORAL
VENEZOLANA,TRAMITADA,08/15/2013 12:00:00 AM,MASCULINO,UNION_LIBRE,VENEZUELA,(NO REGISTRA),VISA,(NO REGISTRA),RESIDENTE
VENEZOLANA,TRAMITADA,08/15/2013 12:00:00 AM,MASCULINO,CASADO,VENEZUELA,CARTAGENA,VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,08/13/2013 12:00:00 AM,MASCULINO,CASADO,VENEZUELA,CARTAGENA,VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,8/01/14 0:00,MASCULINO,CASADO,VENEZUELA,CARTAGENA,VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,05/16/2016 12:00:00 AM,MASCULINO,CASADO,VENEZUELA,LA CALERA,VISA,TP_7,TEMPORAL
VENEZOLANA,TRAMITADA,05/16/2017 12:00:00 AM,MASCULINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,TP_7,TEMPORAL
VENEZOLANA,TRAMITADA,05/28/2014 12:00:00 AM,MASCULINO,CASADO,CHILE,(NO REGISTRA),VISA,TP_10,TEMPORAL
VENEZOLANA,TRAMITADA,8/12/13 0:00,MASCULINO,CASADO,CHILE,BOGOTA,VISA,TP_7,TEMPORAL
VENEZOLANA,TRAMITADA,8/12/13 0:00,MASCULINO,CASADO,VENEZUELA,CARTAGENA,VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,8/04/14 0:00,MASCULINO,CASADO,VENEZUELA,CARTAGENA,VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,04/22/2016 12:00:00 AM,MASCULINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,TP_7,TEMPORAL
VENEZOLANA,TRAMITADA,08/13/2013 12:00:00 AM,MASCULINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,08/14/2014 12:00:00 AM,MASCULINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,07/18/2016 12:00:00 AM,MASCULINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,(NO REGISTRA),RESIDENTE
VENEZOLANA,TRAMITADA,08/13/2013 12:00:00 AM,FEMENINO,SOLTERO,VENEZUELA,BOGOTA,VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,08/15/2013 12:00:00 AM,MASCULINO,UNION_LIBRE,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,08/15/2013 12:00:00 AM,FEMENINO,CASADO,VENEZUELA,BOGOTA,VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,09/20/2013 12:00:00 AM,MASCULINO,CASADO,VENEZUELA,BOGOTA,VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,07/22/2014 12:00:00 AM,FEMENINO,SOLTERO,VENEZUELA,BARRANQUILLA,VISA,NE_1,NEGOCIOS
VENEZOLANA,TRAMITADA,08/16/2013 12:00:00 AM,FEMENINO,SOLTERO,VENEZUELA,BOGOTA,VISA,NE_1,NEGOCIOS
VENEZOLANA,TRAMITADA,08/15/2013 12:00:00 AM,FEMENINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,05/20/2014 12:00:00 AM,FEMENINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_10,TEMPORAL
VENEZOLANA,TRAMITADA,07/15/2016 12:00:00 AM,FEMENINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,09/13/2013 12:00:00 AM,MASCULINO,CASADO,VENEZUELA,BOGOTA,VISA,TP_10,TEMPORAL
VENEZOLANA,TRAMITADA,08/26/2016 12:00:00 AM,MASCULINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,(NO REGISTRA),RESIDENTE
VENEZOLANA,TRAMITADA,08/16/2013 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,CUCUTA,VISA,TP_3,TEMPORAL
VENEZOLANA,TRAMITADA,08/15/2013 12:00:00 AM,MASCULINO,CASADO,VENEZUELA,BOGOTA,VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,9/04/13 0:00,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,2/05/14 0:00,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_7,TEMPORAL
VENEZOLANA,TRAMITADA,08/16/2013 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,08/26/2014 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_10,TEMPORAL
VENEZOLANA,TRAMITADA,10/01/13 0:00,FEMENINO,SOLTERO,VENEZUELA,BOGOTA,VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,08/16/2013 12:00:00 AM,FEMENINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,06/30/2015 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,08/21/2013 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,BOGOTA,VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,08/21/2013 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,CARTAGENA,VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,8/05/14 0:00,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,5/02/16 0:00,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,08/16/2013 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,08/28/2013 12:00:00 AM,FEMENINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,02/20/2015 12:00:00 AM,FEMENINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,11/21/2014 12:00:00 AM,FEMENINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,08/21/2013 12:00:00 AM,FEMENINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,8/02/16 0:00,FEMENINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,(NO REGISTRA),RESIDENTE
VENEZOLANA,TRAMITADA,08/20/2013 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,08/22/2013 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,01/23/2014 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,01/26/2015 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,12/16/2015 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,04/29/2016 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,08/26/2013 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,CUCUTA,VISA,TP_3,TEMPORAL
VENEZOLANA,TRAMITADA,08/26/2013 12:00:00 AM,MASCULINO,CASADO,VENEZUELA,CARTAGENA,VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,11/26/2013 12:00:00 AM,FEMENINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_3,TEMPORAL
VENEZOLANA,TRAMITADA,9/10/13 0:00,MASCULINO,CASADO,VENEZUELA,BOGOTA,VISA,TP_7,TEMPORAL
VENEZOLANA,TRAMITADA,10/02/14 0:00,MASCULINO,CASADO,VENEZUELA,BOGOTA,VISA,TP_7,TEMPORAL
VENEZOLANA,TRAMITADA,9/02/13 0:00,FEMENINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,08/20/2013 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,08/26/2013 12:00:00 AM,FEMENINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,TP_10,TEMPORAL
VENEZOLANA,TRAMITADA,11/26/2013 12:00:00 AM,MASCULINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,08/23/2013 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,(NO REGISTRA),RESIDENTE
VENEZOLANA,TRAMITADA,08/27/2013 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,CARTAGENA,VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,07/22/2014 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,08/28/2013 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,CARTAGENA,VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,08/21/2013 12:00:00 AM,MASCULINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,TP_10,TEMPORAL
VENEZOLANA,TRAMITADA,05/28/2014 12:00:00 AM,FEMENINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,9/11/13 0:00,FEMENINO,CASADO,VENEZUELA,MANIZALES,VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,9/08/14 0:00,FEMENINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,TP_10,TEMPORAL
VENEZOLANA,TRAMITADA,05/24/2016 12:00:00 AM,FEMENINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,(NO REGISTRA),RESIDENTE
VENEZOLANA,TRAMITADA,12/03/14 0:00,FEMENINO,DIVORCIADO,VENEZUELA,MEDELLIN,VISA,(NO REGISTRA),RESIDENTE
VENEZOLANA,TRAMITADA,9/05/13 0:00,MASCULINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,08/22/2013 12:00:00 AM,MASCULINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,(NO REGISTRA),RESIDENTE
VENEZOLANA,TRAMITADA,9/05/13 0:00,MASCULINO,CASADO,VENEZUELA,BOGOTA,VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,09/18/2014 12:00:00 AM,MASCULINO,CASADO,COLOMBIA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,08/22/2013 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_3,TEMPORAL
VENEZOLANA,TRAMITADA,09/18/2013 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,CUCUTA,VISA,TP_3,TEMPORAL
VENEZOLANA,TRAMITADA,9/06/13 0:00,FEMENINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_3,TEMPORAL
VENEZOLANA,TRAMITADA,11/26/2014 12:00:00 AM,FEMENINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_3,TEMPORAL
VENEZOLANA,TRAMITADA,08/23/2013 12:00:00 AM,FEMENINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,08/14/2015 12:00:00 AM,FEMENINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,9/02/14 0:00,FEMENINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,09/19/2013 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,(NO REGISTRA),VISA,TP_3,TEMPORAL
VENEZOLANA,TRAMITADA,08/23/2013 12:00:00 AM,MASCULINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,(NO REGISTRA),RESIDENTE
VENEZOLANA,TRAMITADA,08/27/2013 12:00:00 AM,FEMENINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
VENEZOLANA,TRAMITADA,08/29/2013 12:00:00 AM,MASCULINO,SOLTERO,VENEZUELA,CUCUTA,VISA,TP_3,TEMPORAL
VENEZOLANA,TRAMITADA,9/03/13 0:00,MASCULINO,UNION_LIBRE,ECUADOR,CUCUTA,VISA,TP_7,TEMPORAL
VENEZOLANA,TRAMITADA,09/19/2014 12:00:00 AM,MASCULINO,UNION_LIBRE,ECUADOR,BUCARAMANGA,VISA,TP_12,TEMPORAL
VENEZOLANA,TRAMITADA,9/06/13 0:00,MASCULINO,SOLTERO,VENEZUELA,LOS PATIOS,VISA,TP_3,TEMPORAL
VENEZOLANA,TRAMITADA,08/27/2013 12:00:00 AM,FEMENINO,CASADO,VENEZUELA,(NO REGISTRA),TRASPASO,(NO REGISTRA),CAMBIO_ENTIDAD_ACTIVIDAD
VENEZOLANA,TRAMITADA,08/26/2013 12:00:00 AM,MASCULINO,CASADO,VENEZUELA,(NO REGISTRA),VISA,TP_4,TEMPORAL
